温度,平均林德曼指数,标准差,测量次数,状态
200,0.046211999999999996,0.012990688954016259,5,固态 (Solid)
250,0.059224399999999996,0.015051844647749989,5,固态 (Solid)
300,0.07966720000000001,0.02359869791323242,5,固态 (Solid)
350,0.07120259999999999,0.01950941832295366,5,固态 (Solid)
400,0.0985534,0.033283577343789235,5,固态 (Solid)
450,0.07105800000000001,0.019733021246124475,5,固态 (Solid)
500,0.0638794,0.005979278660507471,5,固态 (Solid)
550,0.1239816,0.04895534988435891,5,液态 (Liquid)
600,0.098014,0.02323863955785709,5,固态 (Solid)
650,0.12109860000000001,0.044013506453133226,5,液态 (Liquid)
700,0.1070996,0.03679370952078628,5,液态 (Liquid)
750,0.1649476,0.013339380356673244,5,液态 (Liquid)
800,0.17475780000000002,0.055041548808150376,5,液态 (Liquid)
850,0.1872804,0.044573102301724524,5,液态 (Liquid)
900,0.1797312,0.04436113407815449,5,液态 (Liquid)
950,0.24413660000000004,0.03638082340739417,5,液态 (Liquid)
1000,0.20828739999999998,0.05228616028931558,5,液态 (Liquid)
1050,0.2617314,0.030583400371770306,5,液态 (Liquid)
1100,0.2980346,0.03917205451339003,5,液态 (Liquid)
