结构,系列,Pt原子数,Sn原子数,O原子数,总原子数,Tm_threshold,Tm_derivative,Tm_inflection
Cv-1,Cv,6,8,4,18,375.0,1050,300
Cv-2,Cv,6,8,4,18,732.0171026156938,1050,250
Cv-3,Cv,6,8,4,18,415.44039419900326,750,350
Cv-4,Cv,6,8,4,18,657.5544976196443,950,400
Cv-5,Cv,6,8,4,18,616.8625474225984,750,250
O2Pt4Sn6,O2,4,6,2,12,444.1821243104041,1100,200
O2Pt7Sn7,O2,7,7,2,16,556.871003695665,900,900
O2Sn8Pt7,O2,7,8,2,17,362.85502773187375,900,300
O3Pt5Sn7,O3,5,7,3,15,533.5256436578657,900,600
O3Sn4Pt2,O3,2,4,3,9,834.802920115187,900,200
O3Sn5Pt3,O3,3,5,3,11,740.1885852615414,800,200
O4Pt3Sn6,O4,3,6,4,13,671.7391701399416,600,300
Pt2Sn2O1,O1,2,2,1,5,,1100,700
Pt3Sn2O1,O1,3,2,1,6,1034.0709726360965,1100,600
Pt3Sn3O2,O2,3,3,2,8,776.3339219096425,400,600
Pt5Sn3O1,O1,5,3,1,9,574.561154563652,1100,600
Pt5Sn4O1,O1,5,4,1,10,710.3845788346406,1100,800
Pt7Sn5O1,O1,7,5,1,13,524.5168994917655,1000,300
Pt7Sn6O1,O1,7,6,1,14,553.0285804783964,900,1100
Pt7Sn9O4,O4,7,9,4,20,475.04930807296626,500,1100
Sn10Pt7O4,O4,7,10,4,21,700.3071674969297,800,400
Sn1Pt2O1,O1,2,1,1,4,,900,700
Sn3O2Pt2,O2,2,3,2,7,,800,400
Sn3Pt4O1,O1,4,3,1,8,583.9955435219132,900,500
Sn4Pt3O1,O1,3,4,1,8,873.9460254700933,1000,300
Sn5O2Pt4,O2,4,5,2,11,696.7087358553625,1100,300
Sn5O4Pt2,O4,2,5,4,11,924.8924562201821,1100,400
Sn6Pt5O2,O2,5,6,2,13,522.324545021316,700,1000
Sn7Pt4O3,O3,4,7,3,14,437.0303420773804,800,600
pt3sn5,Pt(8-x)SnX,3,5,0,8,428.69211353216923,600,1100
pt4sn4-2,Pt(8-x)SnX,4,4,0,8,505.3496825999675,500,200
pt5sn3-1-best,Pt(8-x)SnX,5,3,0,8,665.1205231898065,900,200
pt6,Pt6SnX,6,0,0,6,511.80738143928323,600,1100
pt6sn1,Pt6SnX,6,1,0,7,669.831417774558,800,300
pt6sn2,Pt6SnX,6,2,0,8,602.5729763467017,900,700
pt6sn3,Pt6SnX,6,3,0,9,506.009739923324,700,900
pt6sn4,Pt6SnX,6,4,0,10,494.6519573778087,900,600
pt6sn5-2,Pt6SnX,6,5,0,11,547.210676131153,900,500
pt6sn6-2,Pt6SnX,6,6,0,12,598.8683181225555,1100,500
pt6sn7,Pt6SnX,6,7,0,13,467.97738181866737,800,500
pt6sn8,Pt6SnX,6,8,0,14,500.2127056941814,500,800
pt6sn9-2,Pt6SnX,6,9,0,15,408.6131034898438,600,300
pt7sn1-1,Pt(8-x)SnX,7,1,0,8,575.288023269021,700,1100
pt8sn0-2-best,Pt8SnX,8,0,0,8,1011.0544188732767,1100,200
pt8sn1-2-best,Pt8SnX,8,1,0,9,603.980667755364,800,300
pt8sn10-2-best,Pt8SnX,8,10,0,18,452.8932030543912,900,900
pt8sn2-1-best,Pt8SnX,8,2,0,10,705.5304884305976,700,200
pt8sn3-1-best,Pt8SnX,8,3,0,11,573.984867632392,800,300
pt8sn4-1-best,Pt8SnX,8,4,0,12,566.276349447425,600,200
pt8sn5-1-best,Pt8SnX,8,5,0,13,663.76095790383,800,1100
pt8sn6-1-best,Pt8SnX,8,6,0,14,528.2400427324654,700,400
pt8sn7-1-best,Pt8SnX,8,7,0,15,622.4380882651559,700,900
pt8sn8-1-best,Pt8SnX,8,8,0,16,554.8076529311445,800,200
pt8sn9-1-best,Pt8SnX,8,9,0,17,447.9614987787417,900,600
