温度 [K],能量 [eV],能量标准差 [eV],拟合能量 [eV],残差 [meV],Cv数值微分 [meV/K]
200.0,-68659.91151634,0.2296422,-68659.93499114763,23.474807632737793,38.01868540002033
300.0,-68656.1096478,0.34494389,-68656.1180268246,8.379024598980322,38.02753859999939
400.0,-68652.30600862,0.46054243,-68652.30106250157,-4.946118424413726,38.065162599959876
500.0,-68648.49661528,0.57602641,-68648.48409817854,-12.517101466073655,38.124845849961275
600.0,-68644.68103945,0.69292374,-68644.6671338555,-13.905594503739849,38.164030500047375
700.0,-68640.86380918,0.80979003,-68640.85016953248,-13.639647513628006,38.16841255000327
800.0,-68637.04735694,0.92379395,-68637.03320520945,-14.151730560115539,38.20545899994613
900.0,-68633.22271738,1.04191388,-68633.21624088642,-6.4764935814309865,38.29497545004415
1000.0,-68629.38836185,1.16122292,-68629.39927656339,10.914713391684927,38.31636640003126
1100.0,-68625.5594441,1.28091887,-68625.58231224035,22.86814035323914,38.28917749997345
